date,1. open,2. high,3. low,4. close,5. volume
2020-03-10 10:25:00,280.66,280.93,280.31,280.35,131031.0
2020-03-10 10:26:00,280.3741,280.49,280.07,280.44,131498.0
2020-03-10 10:27:00,280.465,280.4899,279.38,279.6,181946.0
2020-03-10 10:28:00,279.62,279.91,279.41,279.725,93509.0
2020-03-10 10:29:00,279.7,280.07,279.4201,279.7975,98673.0
2020-03-10 10:30:00,279.81,279.8174,279.47,279.6,90057.0
2020-03-10 10:31:00,279.6162,280.2376,279.45,279.9453,111498.0
2020-03-10 10:32:00,279.94,279.965,279.1,279.19,161067.0
2020-03-10 10:33:00,279.175,279.4353,278.8361,279.05,173422.0
2020-03-10 10:34:00,279.0998,279.3205,278.8901,279.23,102889.0
2020-03-10 10:35:00,279.14,279.53,279.03,279.51,117260.0
2020-03-10 10:36:00,279.525,279.81,278.88,278.99,189332.0
2020-03-10 10:37:00,278.975,279.245,278.54,278.64,113837.0
2020-03-10 10:38:00,278.64,278.8796,278.46,278.55,138719.0
2020-03-10 10:39:00,278.56,278.8,278.2612,278.57,145638.0
2020-03-10 10:40:00,278.57,278.94,278.47,278.69,110108.0
2020-03-10 10:41:00,278.66,278.93,278.25,278.25,131954.0
2020-03-10 10:42:00,278.28,278.67,278.1239,278.56,107442.0
2020-03-10 10:43:00,278.55,278.73,277.42,277.4559,215310.0
2020-03-10 10:44:00,277.44,277.73,276.98,277.63,195448.0
2020-03-10 10:45:00,277.69,277.87,277.21,277.4604,145412.0
2020-03-10 10:46:00,277.41,277.84,277.22,277.47,103901.0
2020-03-10 10:47:00,277.54,277.54,276.3,276.39,165071.0
2020-03-10 10:48:00,276.44,276.71,275.91,276.01,168299.0
2020-03-10 10:49:00,276.05,276.41,275.95,275.99,156566.0
2020-03-10 10:50:00,275.9864,276.0936,275.55,275.72,149906.0
2020-03-10 10:51:00,275.7291,276.23,275.6,275.7762,195153.0
2020-03-10 10:52:00,275.7358,276.1725,275.735,275.91,114876.0
2020-03-10 10:53:00,275.868,276.01,275.2903,275.665,160111.0
2020-03-10 10:54:00,275.64,275.7,275.16,275.3404,135119.0
2020-03-10 10:55:00,275.3335,275.45,274.95,275.3028,200644.0
2020-03-10 10:56:00,275.3028,276.12,275.2,275.9705,211110.0
2020-03-10 10:57:00,275.96,276.49,275.86,276.425,165727.0
2020-03-10 10:58:00,276.4,276.61,275.9967,276.5074,148221.0
2020-03-10 10:59:00,276.48,276.4849,275.82,275.93,122223.0
2020-03-10 11:00:00,275.9377,276.01,275.13,275.1766,153100.0
2020-03-10 11:01:00,275.15,275.45,274.7,275.1469,188738.0
2020-03-10 11:02:00,275.11,275.11,274.51,274.73,104869.0
2020-03-10 11:03:00,274.725,275.07,274.21,274.91,152921.0
2020-03-10 11:04:00,274.94,275.59,274.74,275.56,192453.0
2020-03-10 11:05:00,275.5377,275.79,275.14,275.22,121026.0
2020-03-10 11:06:00,275.22,275.53,275.02,275.26,110641.0
2020-03-10 11:07:00,275.26,276.31,275.26,276.11,178312.0
2020-03-10 11:08:00,276.08,276.69,275.92,276.31,132491.0
2020-03-10 11:09:00,276.33,277.4,276.2,277.21,202056.0
2020-03-10 11:10:00,277.29,277.36,276.94,277.08,148227.0
2020-03-10 11:11:00,277.04,277.14,276.38,276.55,174065.0
2020-03-10 11:12:00,276.51,276.51,275.52,275.57,196831.0
2020-03-10 11:13:00,275.62,276.18,275.55,275.89,104646.0
2020-03-10 11:14:00,275.89,276.04,275.1,275.1666,120541.0
2020-03-10 11:15:00,275.11,275.4599,274.74,274.965,122320.0
2020-03-10 11:16:00,275.0099,275.39,274.64,275.34,115317.0
2020-03-10 11:17:00,275.35,275.9799,275.01,275.33,137580.0
2020-03-10 11:18:00,275.31,275.39,274.27,274.5801,124305.0
2020-03-10 11:19:00,274.59,274.6699,273.81,273.96,187017.0
2020-03-10 11:20:00,273.955,274.1911,273.69,273.86,137706.0
2020-03-10 11:21:00,273.87,274.32,273.51,273.5735,118567.0
2020-03-10 11:22:00,273.61,274.0,273.4141,273.66,168476.0
2020-03-10 11:23:00,273.6679,273.91,273.01,273.12,156800.0
2020-03-10 11:24:00,273.13,273.41,272.8,272.97,156600.0
2020-03-10 11:25:00,272.95,272.95,272.0042,272.08,157277.0
2020-03-10 11:26:00,272.12,272.48,271.3501,271.38,230826.0
2020-03-10 11:27:00,271.35,272.4199,271.17,272.08,252356.0
2020-03-10 11:28:00,272.0,273.0846,271.77,272.95,176170.0
2020-03-10 11:29:00,272.9255,273.93,272.74,273.74,203654.0
2020-03-10 11:30:00,273.8,273.81,272.2,272.22,138471.0
2020-03-10 11:31:00,272.2235,272.73,271.17,271.17,204548.0
2020-03-10 11:32:00,271.224,272.27,271.18,271.5939,212535.0
2020-03-10 11:33:00,271.5775,272.11,271.4,271.43,133820.0
2020-03-10 11:34:00,271.43,273.0,271.43,272.16,166768.0
2020-03-10 11:35:00,272.165,272.78,271.38,271.58,192572.0
2020-03-10 11:36:00,271.56,272.05,270.91,270.97,177854.0
2020-03-10 11:37:00,270.92,271.47,270.1,270.59,260812.0
2020-03-10 11:38:00,270.61,270.79,269.89,270.01,282650.0
2020-03-10 11:39:00,269.9,269.9,269.37,269.57,117719.0
2020-03-10 11:40:00,269.6,271.19,269.49,270.93,259299.0
2020-03-10 11:41:00,270.99,271.64,269.81,269.875,233050.0
2020-03-10 11:42:00,269.88,271.33,269.68,270.76,167187.0
2020-03-10 11:43:00,270.74,272.6166,270.67,272.0,222407.0
2020-03-10 11:44:00,271.94,272.0999,271.46,271.8735,149376.0
2020-03-10 11:45:00,271.83,272.91,271.76,272.8198,179336.0
2020-03-10 11:46:00,272.7535,273.52,272.2773,273.4,224982.0
2020-03-10 11:47:00,273.38,274.175,273.28,273.94,229148.0
2020-03-10 11:48:00,273.98,273.99,272.92,273.07,184850.0
2020-03-10 11:49:00,273.1,273.82,272.92,273.2149,117067.0
2020-03-10 11:50:00,273.17,273.24,272.72,272.84,133126.0
2020-03-10 11:51:00,272.85,273.28,271.97,272.0,195923.0
2020-03-10 11:52:00,271.98,272.701,271.94,272.52,103984.0
2020-03-10 11:53:00,272.4,272.483,271.87,272.4,94079.0
2020-03-10 11:54:00,272.42,272.46,271.002,271.1,118412.0
2020-03-10 11:55:00,271.1896,271.7,270.95,271.6341,96525.0
2020-03-10 11:56:00,271.66,272.43,271.52,272.05,110723.0
2020-03-10 11:57:00,272.0,272.11,271.34,271.37,90723.0
2020-03-10 11:58:00,271.36,272.58,271.19,272.38,103298.0
2020-03-10 11:59:00,272.4,273.52,272.4,273.34,157411.0
2020-03-10 12:00:00,273.31,273.5,272.58,272.67,92780.0
2020-03-10 12:01:00,272.76,274.47,272.73,274.3701,155216.0
2020-03-10 12:02:00,274.44,274.97,274.1,274.8199,189807.0
2020-03-10 12:03:00,274.81,275.4462,274.73,275.2289,231094.0
2020-03-10 12:04:00,275.2307,275.29,274.3,274.67,134248.0
2020-03-10 12:05:00,274.66,274.9,274.21,274.46,150015.0
2020-03-10 12:06:00,274.5,274.7209,274.08,274.16,100151.0
2020-03-10 12:07:00,274.24,275.0,274.22,274.81,135424.0
2020-03-10 12:08:00,274.8,275.0,274.3,274.73,122145.0
2020-03-10 12:09:00,274.7581,275.17,274.18,274.93,114707.0
2020-03-10 12:10:00,274.89,275.4495,274.66,275.16,133876.0
2020-03-10 12:11:00,275.739,275.92,275.67,275.8525,152158.0
2020-03-10 12:13:00,276.7,277.67,276.655,277.6598,366412.0
2020-03-10 12:14:00,277.62,277.79,277.2052,277.52,177226.0
2020-03-10 12:15:00,277.6,277.89,277.27,277.47,190811.0
2020-03-10 12:16:00,277.4447,278.1332,277.43,278.065,177513.0
2020-03-10 12:17:00,278.0593,278.3594,277.4401,277.51,181891.0
2020-03-10 12:18:00,277.42,278.08,277.01,277.1,157102.0
2020-03-10 12:19:00,277.1,277.54,277.01,277.26,103285.0
